,SYMBOL,DATE,5_min_window,avgVol,avgPrice,avgSize,PRICE_1,U_SEQ,totalSum,sectionVol
16613,AA,20030312,13:20:00,0.0004449758540537597,18.494999999999994,695.4545454545455,18.50916666666666,0.0007656795779998174,5320,0.002603840535178049
16614,AA,20030312,13:25:00,0.00045701286316067783,18.50916666666666,1291.6666666666667,18.505000000000003,-0.0002251390242973518,5321,0.002603596722849272
16615,AA,20030312,13:30:00,0.0005455099984210797,18.505000000000003,1095.0,18.481153846153852,-0.001289464011286969,5322,0.00260340612771343
16616,AA,20030312,13:35:00,0.0005916931202581056,18.481153846153852,1623.076923076923,18.486562499999998,0.0002926149851451456,5323,0.0026031661586710646
16617,AA,20030312,13:40:00,0.0006096906774606343,18.486562499999998,740.625,18.529600000000006,0.002325336635998887,5324,0.002603127871864748
16618,AA,20030312,13:45:00,0.0005945514525954613,18.529600000000006,460.0,18.570438235294123,0.002201520738567213,5325,0.0026030687217095064
16619,AA,20030312,13:50:00,0.0005081121780309034,18.570438235294123,570.5882352941177,18.600412,0.0016127568249267607,5326,0.0026029257805819748
16620,AA,20030312,13:55:00,0.0004674875982277078,18.600412,604.0,18.61780487804879,0.0009346433426364054,5327,0.0026027174025661792
16621,AA,20030312,14:00:00,0.0004240547673042442,18.61780487804879,629.2682926829268,18.60344827586208,-0.0007714196423909032,5328,0.00260249113133505
16622,AA,20030312,14:05:00,0.00041984715695430003,18.60344827586208,572.4137931034483,18.604147058823543,3.756130732232796e-05,5329,0.0026022472664988623
16623,AA,20030312,14:10:00,0.000747139654630262,18.604147058823543,438.2352941176471,18.605217391304354,5.7530274807150634e-05,5330,0.002602003631274975
16624,AA,20030312,14:15:00,0.0009284385280388267,18.605217391304354,1595.6521739130435,18.60185185185186,-0.00018090860313019978,5331,0.002601760019628614
16625,AA,20030312,14:20:00,0.0009377059370922555,18.60185185185186,2548.1481481481483,18.57411764705883,-0.0014920503923391071,5332,0.0026015894614927447
16626,AA,20030312,14:25:00,0.000866845862460342,18.57411764705883,788.2352941176471,18.54673076923077,-0.0014755526323079122,5333,0.0026014172409205443
16627,AA,20030312,14:30:00,0.0004807859115425947,18.54673076923077,750.0,18.55852941176471,0.0006359552728664439,5334,0.0026011910301463746
16628,AA,20030312,14:35:00,0.0004580065649621445,18.55852941176471,420.5882352941176,18.576153846153858,0.0009492169673325989,5335,0.0026009842319883562
16629,AA,20030312,14:40:00,0.00043650866175959336,18.576153846153858,809.6153846153846,18.595625000000005,0.0010476310917259082,5336,0.0026007850189732167
16630,AA,20030312,14:45:00,0.0004534783919347745,18.595625000000005,752.7777777777778,18.63671875,0.0022074230385515465,5337,0.002600727220046371
16631,AA,20030312,14:50:00,0.0008276371520325522,18.63671875,707.8125,18.702368421052636,0.0035164083363415028,5338,0.0026009452354685135
16632,AA,20030312,14:55:00,0.0008012225132586964,18.702368421052636,1339.4736842105262,18.735652173913067,0.0017780727239572979,5339,0.002600823682298716
16633,AA,20030312,15:00:00,0.00045532045990278453,18.735652173913067,971.0144927536232,18.735593220338988,-3.1466034000173618e-06,5340,0.0026005802309337655
16634,AA,20030312,15:05:00,0.00044786091714276284,18.735593220338988,791.5254237288135,18.70773584905659,-0.0014879754078820184,5341,0.002600409834439506
16635,AA,20030312,15:10:00,0.0005041301308269487,18.70773584905659,867.9245283018868,18.693243243243252,-0.0007749854089611466,5342,0.0026001846251766957
16636,AA,20030312,15:15:00,0.0005146947172417167,18.693243243243252,2064.864864864865,18.679999999999993,-0.0007087018759041505,5343,0.0025999562360956414
