,Symbol,Date,Time,Vol,Price,Size,Price_1,U_seq,Section_Vol
377,AAP,20030313,09:30:00,0.0006641522547886021,40.85875000000001,625.0,41.028846153846146,0.004154387391378909,0.00021367863051001396
378,AAP,20030313,09:35:00,0.0004986879363775328,41.028846153846146,1273.076923076923,41.00357142857145,-0.0006162131220643453,0.00021581408812282134
379,AAP,20030313,09:40:00,0.0005048689720218098,41.00357142857145,553.5714285714286,40.86055555555555,-0.003493985064730477,0.0002806258539937532
380,AAP,20030313,09:45:00,0.0004496643565484602,40.86055555555555,422.22222222222223,40.887407407407395,0.0006569424324303598,0.00028226931872114266
381,AAP,20030313,09:50:00,0.0004539504797517032,40.887407407407395,618.5185185185185,40.82105263157893,-0.0016241840902068286,0.00029391868519603766
382,AAP,20030313,09:55:00,0.00044815017228487985,40.82105263157893,478.94736842105266,40.76239999999999,-0.0014378563248315694,0.0003025589368963162
383,AAP,20030313,10:00:00,0.0004786022494864618,40.76239999999999,716.0,40.74909090909091,-0.0003265574185657014,0.0003026057167683714
384,AAP,20030313,10:05:00,0.0005500566162888914,40.74909090909091,218.1818181818182,40.750833333333325,4.2758916867111435e-05,0.00030222208123484675
385,AAP,20030313,10:10:00,0.0005265576758075265,40.750833333333325,550.0,40.693333333333335,-0.0014120105074884482,0.00031018708266785847
386,AAP,20030313,10:15:00,0.0005180084279682157,40.693333333333335,205.55555555555554,40.68333333333333,-0.0002457706971778872,0.0003100157728700358
387,AAP,20030313,10:20:00,0.0004936148544264849,40.68333333333333,208.33333333333334,40.705000000000005,0.0005324268550818134,0.0003108422081386309
388,AAP,20030313,10:25:00,0.0004880080335106405,40.705000000000005,512.5,40.722500000000004,0.00042983022368199515,0.0003112402804389391
389,AAP,20030313,10:30:00,0.000486143401701122,40.722500000000004,275.0,40.73375,0.0002762219000145301,0.0003111743519640848
390,AAP,20030313,10:35:00,0.00048053157266655634,40.73375,137.5,40.788888888888884,0.0013527260169315673,0.00031830124739999724
391,AAP,20030313,10:40:00,0.0004757567220178564,40.788888888888884,2033.3333333333333,40.776363636363634,-0.0003071222667967481,0.0003182614934124141
392,AAP,20030313,10:45:00,0.00047175034747471643,40.776363636363634,718.1818181818181,40.62071428571428,-0.003824450320302209,0.0003716842639245328
393,AAP,20030313,10:50:00,0.0003497842671889846,40.62071428571428,392.85714285714283,40.65099999999999,0.0007452953577705691,0.000373181302968079
394,AAP,20030313,10:55:00,0.0003568262211751716,40.65099999999999,210.0,40.688571428571436,0.000923816798727841,0.00037567587794419907
395,AAP,20030313,11:00:00,0.00036970687240144403,40.688571428571436,207.14285714285714,40.76529411764705,0.0018838323080367216,0.0003870885681607475
396,AAP,20030313,11:05:00,0.0003960891926437119,40.76529411764705,1323.5294117647059,40.79,0.0006058682854616646,0.00038781637620487826
397,AAP,20030313,11:10:00,0.00039589223921388,40.79,133.33333333333334,40.775555555555556,-0.0003541800088788925,0.0003877246142821503
398,AAP,20030313,11:15:00,0.0004067946713426893,40.775555555555556,277.77777777777777,40.74727272727273,-0.0006938628115164593,0.0003887692720117225
399,AAP,20030313,11:20:00,0.00043580423528496965,40.74727272727273,1100.0,40.78333333333333,0.0008845907114991947,0.000390831677915532
400,AAP,20030313,11:30:00,0.0004468318460935849,40.78333333333333,322.22222222222223,40.697500000000005,-0.0021068357200429255,0.00040421314390684646
401,AAP,20030313,11:35:00,0.0004111816434327127,40.697500000000005,850.0,40.65875,-0.0009526005176076363,0.00040643776048246086
402,AAP,20030313,11:40:00,0.00038022977025303827,40.65875,150.0,40.65,-0.0002152289891008542,0.0004060578863664837
403,AAP,20030313,11:45:00,0.0003770825904894116,40.65,116.66666666666667,40.69933333333334,0.001212876304196095,0.0004101119887201237
404,AAP,20030313,11:50:00,0.00037151300926001183,40.69933333333334,266.6666666666667,40.72428571428571,0.0006129027922202501,0.00041077070976971834
405,AAP,20030313,11:55:00,0.00037130768393016324,40.72428571428571,1107.142857142857,40.73,0.0001403065700851442,0.0004103294147311416
406,AAP,20030313,12:00:00,0.0003396276561576876,40.73,125.0,40.743,0.00031912412971990973,0.00041014397969045855
407,AAP,20030313,12:05:00,0.0003450125013654563,40.743,1030.0,40.774166666666666,0.0007646651486978235,0.0004114172310902682
408,AAP,20030313,12:10:00,0.000348611500995077,40.774166666666666,258.3333333333333,40.88478260869565,0.0027092195201988477,0.0004322759765156773
409,AAP,20030313,12:15:00,0.0002997722834725658,40.88478260869565,539.1304347826087,40.92333333333333,0.0009424670657013737,0.00043424064629612324
410,AAP,20030313,12:20:00,0.00030431723709668486,40.92333333333333,366.6666666666667,40.91199999999999,-0.0002769789758082102,0.00043393192190472506
411,AAP,20030313,12:25:00,0.00031270045198533974,40.91199999999999,250.0,40.92,0.00019552253459523123,0.00043350729536129106
412,AAP,20030313,12:30:00,0.0003354335873019328,40.92,150.0,40.97461538461539,0.0013337969158457624,0.0004379001330207942
413,AAP,20030313,12:35:00,0.00043849888793121304,40.97461538461539,1592.3076923076924,40.965,-0.00023469440549331533,0.0004375307525169174
414,AAP,20030313,12:40:00,0.00045015723493661884,40.965,200.0,40.9,-0.0015879805450220714,0.0004439540575105385
415,AAP,20030313,12:45:00,0.00043864286587908766,40.9,150.0,40.875,-0.0006114338313385593,0.00044443910699675415
416,AAP,20030313,12:50:00,0.000439583888357581,40.875,400.0,40.88,0.0001223166780314828,0.000443944385538847
417,AAP,20030313,12:55:00,0.00044136615283232145,40.88,150.0,40.89333333333334,0.0003261046824922378,0.0004436963578707468
